order_item_id,order_id,product_id,quantity
1,2298,14,1
2,2971,2,3
3,970,3,4
4,409,17,2
5,4617,5,2
6,432,5,3
7,722,7,5
8,233,1,2
9,4794,12,1
10,525,3,3
11,3615,9,4
12,1446,2,3
13,3033,11,2
14,1972,16,5
15,1539,1,3
16,5024,16,3
17,3933,10,3
18,3087,10,3
19,1118,13,2
20,1603,7,2
21,6364,10,4
22,2807,3,5
23,345,7,3
24,4600,7,1
25,4581,5,3
26,731,7,1
27,963,14,1
28,3323,9,3
29,6591,2,2
30,3000,8,3
31,973,16,4
32,6057,7,2
33,2333,8,1
34,6211,15,1
35,4482,5,1
36,5125,6,1
37,6561,13,1
38,3554,7,5
39,1352,8,1
40,4327,13,4
41,5201,17,1
42,5531,3,1
43,4457,2,2
44,1930,8,4
45,4729,16,1
46,6311,5,3
47,3685,11,2
48,6409,12,4
49,2537,9,1
50,570,7,3
51,2392,15,2
52,4288,13,2
53,4849,13,2
54,2509,1,2
55,1897,17,3
56,5104,5,1
57,1848,3,4
58,5192,12,5
59,617,9,3
60,83,2,5
61,5266,1,2
62,5097,12,4
63,1135,17,4
64,5044,8,5
65,2786,8,5
66,5237,3,1
67,3138,16,2
68,1804,7,5
69,1510,15,4
70,2622,7,3
71,4426,2,2
72,5671,10,5
73,3189,13,5
74,5045,6,2
75,4566,12,5
76,2827,11,2
77,223,3,1
78,5572,4,3
79,5559,10,3
80,6339,10,5
81,6957,10,4
82,4872,5,1
83,3659,9,1
84,3002,4,5
85,3820,1,2
86,5559,5,2
87,842,15,4
88,2689,2,2
89,2822,9,5
90,4339,8,5
91,610,1,2
92,1442,1,3
93,867,2,2
94,5243,16,2
95,4164,3,1
96,1231,15,2
97,4878,11,4
98,2677,12,1
99,1276,14,2
100,3796,2,1
101,4046,14,2
102,1703,1,2
103,1298,12,1
104,3826,13,4
105,3580,6,1
106,1346,16,3
107,3424,6,1
108,6991,7,2
109,2482,12,5
110,5874,12,5
111,1451,12,4
112,2871,13,2
113,524,6,5
114,5943,11,5
115,270,10,3
116,616,10,4
117,2986,7,4
118,3503,7,4
119,6233,6,3
120,3420,10,5
121,2900,14,3
122,4078,14,4
123,4781,12,3
124,5546,16,4
125,5923,1,3
126,964,14,3
127,6813,2,4
128,3801,14,3
129,2762,3,1
130,3065,1,3
131,5049,5,3
132,3382,17,4
133,23,10,2
134,3480,9,4
135,5001,16,5
136,2926,2,5
137,386,10,4
138,3337,1,4
139,1806,17,2
140,4134,12,1
141,5866,10,1
142,3421,5,4
143,2706,1,2
144,227,6,2
145,2742,6,1
146,1511,8,5
147,103,6,5
148,6693,10,3
149,5734,13,2
150,4036,13,2
151,2656,4,3
152,4191,15,3
153,4835,16,1
154,2582,4,2
155,5513,11,3
156,3029,8,5
157,2566,8,2
158,2716,17,3
159,4674,3,4
160,4837,12,2
161,2853,11,2
162,1094,16,3
163,649,5,1
164,4681,2,1
165,4491,3,4
166,5468,10,5
167,3748,8,1
168,1004,3,3
169,4975,14,2
170,1720,14,1
171,4625,4,1
172,2577,1,3
173,5510,11,5
174,6160,13,1
175,5067,15,3
176,505,1,3
177,5055,16,3
178,6362,17,2
179,2145,10,3
180,4919,9,2
181,730,1,3
182,1335,1,5
183,2412,3,5
184,1532,14,3
185,2224,2,4
186,4483,15,2
187,2658,11,1
188,5785,12,3
189,979,11,1
190,4967,2,5
191,1680,15,3
192,6840,15,4
193,19,15,5
194,3106,1,4
195,760,14,5
196,2258,4,2
197,6230,12,1
198,1408,9,5
199,1680,13,5
200,2566,12,5
201,6798,12,5
202,1312,16,4
203,6039,2,4
204,4777,5,2
205,3407,4,3
206,3184,9,5
207,235,14,1
208,6971,17,2
209,4075,14,1
210,160,1,2
211,5830,8,3
212,6671,3,2
213,223,9,3
214,4804,13,5
215,899,11,4
216,1684,9,5
217,2142,7,5
218,2836,14,2
219,1676,16,3
220,4646,17,3
221,4852,3,2
222,6000,16,5
223,4080,1,1
224,4598,17,1
225,5160,3,1
226,5906,8,2
227,6524,16,5
228,2669,6,2
229,1656,4,3
230,1927,6,3
231,668,15,1
232,5482,15,1
233,1185,16,5
234,3975,14,2
235,2013,17,4
236,6222,2,5
237,5937,3,2
238,5531,6,2
239,6033,2,5
240,1161,6,1
241,2501,10,5
242,2407,8,3
243,920,16,5
244,6360,4,4
245,2093,12,4
246,913,2,3
247,1157,11,5
248,4844,1,1
