order_id,customer_id,store_id,order_date
1,118,3,2023-11-30
2,615,4,2024-10-31
3,718,5,2022-08-04
4,867,1,2024-03-03
5,649,1,2024-04-08
6,881,5,2022-04-10
7,991,3,2024-01-06
8,32,3,2022-12-01
9,92,1,2022-10-16
10,773,1,2023-03-21
11,812,4,2022-01-13
12,532,1,2024-04-09
13,805,3,2022-07-31
14,965,5,2022-01-28
15,260,3,2024-04-13
16,860,1,2022-06-04
17,709,5,2024-10-20
18,929,1,2023-06-10
19,40,5,2023-04-29
20,280,4,2023-10-29
21,270,3,2023-12-23
22,31,4,2022-01-24
23,605,3,2024-10-24
24,36,4,2022-09-27
25,709,4,2023-06-22
26,349,4,2024-06-04
27,609,5,2023-03-28
28,701,5,2023-12-15
29,586,1,2024-09-24
30,265,2,2023-07-16
31,81,3,2022-10-21
32,682,5,2022-02-02
33,298,5,2024-01-06
34,466,4,2024-06-01
35,184,3,2023-01-26
36,691,5,2023-08-13
37,466,4,2024-03-10
38,620,1,2023-12-09
39,200,1,2022-07-16
40,401,3,2024-10-11
41,143,5,2024-03-31
42,127,4,2023-08-25
43,689,4,2024-11-28
44,328,5,2022-01-30
45,138,4,2022-09-23
46,624,4,2024-03-05
47,87,1,2024-03-10
48,397,2,2024-03-28
49,446,1,2023-01-24
50,316,5,2024-12-05
51,131,3,2024-03-30
52,898,5,2024-04-25
53,495,1,2022-09-13
54,406,3,2024-02-15
55,162,4,2024-10-02
56,842,3,2022-04-02
57,162,1,2024-01-16
58,842,4,2022-09-28
59,212,1,2022-10-30
60,331,2,2023-07-15
61,184,2,2023-11-28
62,156,3,2024-03-10
63,852,1,2022-01-02
64,534,3,2024-12-06
65,858,5,2023-09-25
66,615,4,2022-05-09
67,464,2,2022-08-10
68,371,1,2023-11-27
69,792,2,2022-01-17
70,641,3,2023-04-12
71,339,2,2022-06-29
72,193,1,2024-11-20
73,279,3,2024-04-27
74,18,3,2023-04-16
75,296,2,2023-05-12
76,154,2,2022-09-11
77,7,5,2022-06-24
78,905,2,2023-07-09
79,939,3,2023-04-09
80,743,1,2023-07-22
81,931,1,2023-07-30
82,883,1,2024-09-21
83,525,2,2023-06-28
84,712,2,2024-08-11
85,897,4,2022-11-06
86,706,3,2022-04-03
87,775,2,2022-07-17
88,951,1,2024-05-24
89,953,5,2022-10-29
90,234,1,2023-03-21
91,504,5,2024-11-24
92,83,5,2022-08-12
93,669,1,2022-03-29
94,824,5,2024-02-24
95,155,3,2022-11-30
96,997,4,2023-12-06
97,475,5,2024-06-10
98,831,2,2023-11-12
99,371,5,2024-08-27
100,463,3,2023-12-12
101,888,2,2024-05-04
102,219,3,2024-10-25
103,536,5,2022-10-22
104,201,4,2022-11-02
105,323,3,2023-08-29
106,766,2,2022-09-20
107,655,3,2023-02-19
108,335,1,2022-05-19
109,921,4,2024-12-14
110,696,5,2023-01-18
111,567,1,2023-11-10
112,48,2,2023-05-31
113,345,3,2023-04-17
114,568,5,2023-01-18
115,524,4,2022-11-22
116,8,3,2024-06-22
117,407,4,2024-06-10
118,389,4,2022-04-01
119,546,2,2024-10-11
120,307,3,2024-10-22
121,458,1,2022-09-22
122,57,4,2023-10-04
123,213,1,2023-03-17
124,734,4,2024-01-08
125,619,2,2022-07-30
126,381,2,2024-03-22
127,132,1,2022-03-12
128,493,3,2022-06-18
129,264,3,2023-03-27
130,4,1,2022-02-01
131,825,4,2022-06-17
132,285,3,2023-12-30
133,146,5,2024-02-22
134,954,3,2023-12-23
135,725,4,2023-10-01
136,278,2,2023-03-14
137,71,5,2024-09-07
138,100,1,2024-01-13
139,233,2,2023-05-13
140,909,3,2024-07-12
141,169,5,2024-06-04
142,863,5,2024-08-15
143,30,1,2022-02-21
144,769,1,2023-02-26
145,811,3,2023-04-09
146,302,3,2024-10-13
147,374,5,2023-12-30
148,834,5,2024-04-26
149,642,1,2024-12-22
150,537,5,2022-07-09
151,858,4,2024-11-14
152,414,1,2022-09-25
153,119,3,2022-11-11
154,512,5,2023-06-07
155,223,4,2024-06-14
156,941,2,2024-11-20
157,131,4,2023-08-14
158,598,1,2023-03-08
159,220,1,2022-11-25
160,172,2,2023-04-15
161,892,5,2023-10-21
162,271,5,2022-03-25
163,952,4,2022-01-29
164,297,4,2023-02-28
165,703,1,2023-10-02
