product_name;mae_arima;mae_sarima;mae_lstm;mae_lgbm;mae_xgb
Acer;4,448;8,405;4,347;4,362;5,55
Coffee Maker;7,185;7,519;7,351;5,945;6,476
Dell;4,946;5,159;5,126;4,403;4,899
Dish Washer;4,064;6,977;4,606;3,698;4,936
Electric Kettle;4,573;3,499;3,591;4,425;3,647
HP;7,4;10,636;6,838;6,244;7,877
iPhone;6,753;8,851;6,728;6,789;7,515
MacBook;6,288;9,581;6,108;6,248;6,966
Microwave Oven;4,575;6,227;4,353;4,087;3,66
Mixer;5,674;8,876;5,805;5,308;5,173
Range Hood;3,741;5,226;4,404;4,194;4,667
Refrigerator;8,251;8,452;8,755;9,916;9,153
Samsung;7,601;9,775;7,872;5,889;6,352
Stove;4,589;5,563;4,375;3,462;4,6
Toaster;4,927;7,045;5,191;3,985;4,926
Xiaomi;6,518;6,798;6,925;6,3;5,387
Average_MAE;5,721;7,412;5,773;5,328;5,737
