"order_date","product_name","product_categories","quantity","unit_price","total_price","day_of_week","week","month","year"
2024-12-31,Microwave Oven,Kitchen Appliances,2,99,198,2,1,12,2024
2024-12-31,Electric Kettle,Kitchen Appliances,5,39,195,2,1,12,2024
2024-12-31,Refrigerator,Big Kitchen Appliances,1,999,999,2,1,12,2024
2024-12-31,HP,Laptops,4,799,3196,2,1,12,2024
2024-12-31,Samsung,Laptops,4,749,2996,2,1,12,2024
2024-12-31,Microwave Oven,Kitchen Appliances,4,99,396,2,1,12,2024
2024-12-31,Samsung,Laptops,3,749,2247,2,1,12,2024
2024-12-31,Coffee Maker,Kitchen Appliances,4,89,356,2,1,12,2024
2024-12-31,iPhone,Phones,2,699,1398,2,1,12,2024
2024-12-31,Mixer,Kitchen Appliances,1,59,59,2,1,12,2024
2024-12-31,Dish Washer,Big Kitchen Appliances,3,700,2100,2,1,12,2024
2024-12-31,MacBook,Laptops,2,1299,2598,2,1,12,2024
2024-12-30,Electric Kettle,Kitchen Appliances,3,39,117,1,1,12,2024
2024-12-30,Samsung,Laptops,3,749,2247,1,1,12,2024
2024-12-30,MacBook,Laptops,2,1299,2598,1,1,12,2024
2024-12-30,Mixer,Kitchen Appliances,4,59,236,1,1,12,2024
2024-12-29,Acer,Laptops,3,649,1947,0,52,12,2024
2024-12-29,Range Hood,Big Kitchen Appliances,1,450,450,0,52,12,2024
2024-12-29,Dell,Laptops,1,899,899,0,52,12,2024
2024-12-29,Refrigerator,Big Kitchen Appliances,2,999,1998,0,52,12,2024
2024-12-29,iPhone,Phones,4,699,2796,0,52,12,2024
2024-12-29,Dell,Laptops,5,899,4495,0,52,12,2024
2024-12-29,Dell,Laptops,3,899,2697,0,52,12,2024
2024-12-29,Mixer,Kitchen Appliances,5,59,295,0,52,12,2024
2024-12-29,Dell,Laptops,5,899,4495,0,52,12,2024
2024-12-28,Microwave Oven,Kitchen Appliances,3,99,297,6,52,12,2024
2024-12-28,HP,Laptops,3,799,2397,6,52,12,2024
2024-12-28,Refrigerator,Big Kitchen Appliances,1,999,999,6,52,12,2024
2024-12-28,MacBook,Laptops,1,1299,1299,6,52,12,2024
2024-12-28,Dell,Laptops,1,899,899,6,52,12,2024
2024-12-28,Range Hood,Big Kitchen Appliances,2,450,900,6,52,12,2024
2024-12-28,Samsung,Phones,1,599,599,6,52,12,2024
2024-12-28,Dell,Laptops,5,899,4495,6,52,12,2024
2024-12-27,HP,Laptops,1,799,799,5,52,12,2024
2024-12-27,Coffee Maker,Kitchen Appliances,2,89,178,5,52,12,2024
2024-12-27,Mixer,Kitchen Appliances,2,59,118,5,52,12,2024
2024-12-27,Refrigerator,Big Kitchen Appliances,2,999,1998,5,52,12,2024
2024-12-27,Acer,Laptops,3,649,1947,5,52,12,2024
2024-12-26,Toaster,Kitchen Appliances,2,49,98,4,52,12,2024
2024-12-26,Dish Washer,Big Kitchen Appliances,3,700,2100,4,52,12,2024
2024-12-25,Range Hood,Big Kitchen Appliances,5,450,2250,3,52,12,2024
2024-12-25,Range Hood,Big Kitchen Appliances,3,450,1350,3,52,12,2024
