date,demand
2022-01-03,1
2022-01-10,17
2022-01-17,10
2022-01-24,6
2022-01-31,12
2022-02-07,14
2022-02-14,21
2022-02-21,14
2022-02-28,7
2022-03-07,2
2022-03-14,9
2022-03-21,18
2022-03-28,2
2022-04-04,13
2022-04-11,12
2022-04-18,10
2022-04-25,12
2022-05-02,18
2022-05-09,5
2022-05-16,11
2022-05-23,6
2022-05-30,9
2022-06-06,2
2022-06-13,24
2022-06-20,9
2022-06-27,10
2022-07-04,5
2022-07-11,5
2022-07-18,14
2022-07-25,22
2022-08-01,6
2022-08-08,6
2022-08-15,14
2022-08-22,6
2022-08-29,9
2022-09-05,29
2022-09-12,17
2022-09-19,11
2022-09-26,15
2022-10-03,9
2022-10-10,11
2022-10-17,2
2022-10-24,8
2022-10-31,8
2022-11-07,6
2022-11-14,9
2022-11-21,1
2022-11-28,19
2022-12-05,12
2022-12-12,14
2022-12-19,11
2022-12-26,15
2023-01-02,19
2023-01-09,17
2023-01-16,26
2023-01-23,16
2023-01-30,8
2023-02-06,2
2023-02-13,4
2023-02-20,18
2023-02-27,8
2023-03-06,5
2023-03-13,11
2023-03-20,10
2023-03-27,2
2023-04-03,6
2023-04-10,0
2023-04-17,19
2023-04-24,14
2023-05-01,11
2023-05-08,14
2023-05-15,16
2023-05-22,12
2023-05-29,20
2023-06-05,10
2023-06-12,16
2023-06-19,8
2023-06-26,9
2023-07-03,0
2023-07-10,12
2023-07-17,1
2023-07-24,4
2023-07-31,13
2023-08-07,19
2023-08-14,4
2023-08-21,9
2023-08-28,14
2023-09-04,5
2023-09-11,0
2023-09-18,10
2023-09-25,7
2023-10-02,14
2023-10-09,10
2023-10-16,12
2023-10-23,22
2023-10-30,10
2023-11-06,9
2023-11-13,18
2023-11-20,14
2023-11-27,12
2023-12-04,20
2023-12-11,9
2023-12-18,8
2023-12-25,6
2024-01-01,10
2024-01-08,9
2024-01-15,5
2024-01-22,2
2024-01-29,0
2024-02-05,4
2024-02-12,3
2024-02-19,4
2024-02-26,9
2024-03-04,3
2024-03-11,10
2024-03-18,8
2024-03-25,15
2024-04-01,19
2024-04-08,7
2024-04-15,7
2024-04-22,5
2024-04-29,16
2024-05-06,17
2024-05-13,14
2024-05-20,35
2024-05-27,9
2024-06-03,11
2024-06-10,5
2024-06-17,12
2024-06-24,4
2024-07-01,13
2024-07-08,8
2024-07-15,7
2024-07-22,14
2024-07-29,22
2024-08-05,11
2024-08-12,8
2024-08-19,21
2024-08-26,22
2024-09-02,20
2024-09-09,4
2024-09-16,12
2024-09-23,11
2024-09-30,15
2024-10-07,24
2024-10-14,20
2024-10-21,10
2024-10-28,20
2024-11-04,15
2024-11-11,14
2024-11-18,4
2024-11-25,11
2024-12-02,11
2024-12-09,14
2024-12-16,5
2024-12-23,17
2024-12-30,6
