date,demand
2022-01-10,9
2022-01-17,8
2022-01-24,10
2022-01-31,13
2022-02-07,19
2022-02-14,0
2022-02-21,7
2022-02-28,15
2022-03-07,8
2022-03-14,1
2022-03-21,11
2022-03-28,6
2022-04-04,8
2022-04-11,26
2022-04-18,0
2022-04-25,15
2022-05-02,9
2022-05-09,11
2022-05-16,6
2022-05-23,10
2022-05-30,8
2022-06-06,16
2022-06-13,12
2022-06-20,2
2022-06-27,23
2022-07-04,9
2022-07-11,0
2022-07-18,6
2022-07-25,9
2022-08-01,17
2022-08-08,15
2022-08-15,18
2022-08-22,11
2022-08-29,26
2022-09-05,6
2022-09-12,8
2022-09-19,10
2022-09-26,12
2022-10-03,3
2022-10-10,18
2022-10-17,2
2022-10-24,21
2022-10-31,0
2022-11-07,9
2022-11-14,19
2022-11-21,9
2022-11-28,11
2022-12-05,9
2022-12-12,2
2022-12-19,7
2022-12-26,10
2023-01-02,19
2023-01-09,3
2023-01-16,11
2023-01-23,12
2023-01-30,26
2023-02-06,8
2023-02-13,16
2023-02-20,11
2023-02-27,11
2023-03-06,15
2023-03-13,0
2023-03-20,16
2023-03-27,14
2023-04-03,7
2023-04-10,5
2023-04-17,0
2023-04-24,11
2023-05-01,4
2023-05-08,7
2023-05-15,7
2023-05-22,8
2023-05-29,16
2023-06-05,13
2023-06-12,5
2023-06-19,3
2023-06-26,11
2023-07-03,18
2023-07-10,5
2023-07-17,13
2023-07-24,0
2023-07-31,6
2023-08-07,16
2023-08-14,5
2023-08-21,7
2023-08-28,14
2023-09-04,6
2023-09-11,22
2023-09-18,1
2023-09-25,9
2023-10-02,17
2023-10-09,6
2023-10-16,16
2023-10-23,13
2023-10-30,18
2023-11-06,18
2023-11-13,19
2023-11-20,5
2023-11-27,10
2023-12-04,14
2023-12-11,4
2023-12-18,15
2023-12-25,2
2024-01-01,12
2024-01-08,12
2024-01-15,17
2024-01-22,10
2024-01-29,22
2024-02-05,23
2024-02-12,21
2024-02-19,21
2024-02-26,2
2024-03-04,3
2024-03-11,6
2024-03-18,3
2024-03-25,4
2024-04-01,4
2024-04-08,2
2024-04-15,6
2024-04-22,16
2024-04-29,24
2024-05-06,0
2024-05-13,22
2024-05-20,15
2024-05-27,15
2024-06-03,14
2024-06-10,19
2024-06-17,16
2024-06-24,5
2024-07-01,5
2024-07-08,18
2024-07-15,17
2024-07-22,18
2024-07-29,17
2024-08-05,0
2024-08-12,6
2024-08-19,5
2024-08-26,13
2024-09-02,22
2024-09-09,19
2024-09-16,4
2024-09-23,9
2024-09-30,12
2024-10-07,17
2024-10-14,16
2024-10-21,27
2024-10-28,20
2024-11-04,23
2024-11-11,11
2024-11-18,6
2024-11-25,16
2024-12-02,20
2024-12-09,20
2024-12-16,7
2024-12-23,17
2024-12-30,6
2025-01-06,4
