date,demand
2022-01-03,1
2022-01-10,27
2022-01-17,12
2022-01-24,14
2022-01-31,10
2022-02-07,20
2022-02-14,14
2022-02-21,17
2022-02-28,7
2022-03-07,19
2022-03-14,10
2022-03-21,11
2022-03-28,3
2022-04-04,14
2022-04-11,16
2022-04-18,9
2022-04-25,16
2022-05-02,14
2022-05-09,28
2022-05-16,10
2022-05-23,6
2022-05-30,10
2022-06-06,13
2022-06-13,16
2022-06-20,4
2022-06-27,5
2022-07-04,6
2022-07-11,24
2022-07-18,7
2022-07-25,23
2022-08-01,10
2022-08-08,2
2022-08-15,8
2022-08-22,0
2022-08-29,22
2022-09-05,0
2022-09-12,14
2022-09-19,7
2022-09-26,5
2022-10-03,14
2022-10-10,25
2022-10-17,5
2022-10-24,19
2022-10-31,23
2022-11-07,6
2022-11-14,7
2022-11-21,5
2022-11-28,8
2022-12-05,5
2022-12-12,16
2022-12-19,15
2022-12-26,16
2023-01-02,7
2023-01-09,16
2023-01-16,7
2023-01-23,15
2023-01-30,5
2023-02-06,16
2023-02-13,17
2023-02-20,1
2023-02-27,13
2023-03-06,0
2023-03-13,4
2023-03-20,5
2023-03-27,9
2023-04-03,28
2023-04-10,8
2023-04-17,18
2023-04-24,6
2023-05-01,7
2023-05-08,9
2023-05-15,8
2023-05-22,8
2023-05-29,16
2023-06-05,11
2023-06-12,0
2023-06-19,11
2023-06-26,19
2023-07-03,9
2023-07-10,8
2023-07-17,3
2023-07-24,4
2023-07-31,12
2023-08-07,9
2023-08-14,15
2023-08-21,22
2023-08-28,13
2023-09-04,8
2023-09-11,5
2023-09-18,4
2023-09-25,3
2023-10-02,13
2023-10-09,20
2023-10-16,22
2023-10-23,12
2023-10-30,7
2023-11-06,5
2023-11-13,27
2023-11-20,6
2023-11-27,16
2023-12-04,20
2023-12-11,9
2023-12-18,12
2023-12-25,10
2024-01-01,15
2024-01-08,3
2024-01-15,13
2024-01-22,12
2024-01-29,10
2024-02-05,12
2024-02-12,20
2024-02-19,14
2024-02-26,9
2024-03-04,11
2024-03-11,17
2024-03-18,7
2024-03-25,11
2024-04-01,3
2024-04-08,14
2024-04-15,8
2024-04-22,15
2024-04-29,22
2024-05-06,7
2024-05-13,13
2024-05-20,12
2024-05-27,39
2024-06-03,0
2024-06-10,14
2024-06-17,21
2024-06-24,6
2024-07-01,12
2024-07-08,7
2024-07-15,5
2024-07-22,14
2024-07-29,8
2024-08-05,16
2024-08-12,7
2024-08-19,12
2024-08-26,14
2024-09-02,13
2024-09-09,4
2024-09-16,0
2024-09-23,8
2024-09-30,13
2024-10-07,8
2024-10-14,19
2024-10-21,13
2024-10-28,8
2024-11-04,9
2024-11-11,9
2024-11-18,3
2024-11-25,19
2024-12-02,11
2024-12-09,14
2024-12-16,18
2024-12-23,19
2024-12-30,20
