date,demand
2022-01-10,14
2022-01-17,1
2022-01-24,3
2022-01-31,7
2022-02-07,8
2022-02-14,5
2022-02-21,6
2022-02-28,9
2022-03-07,26
2022-03-14,5
2022-03-21,6
2022-03-28,12
2022-04-04,12
2022-04-11,3
2022-04-18,28
2022-04-25,25
2022-05-02,10
2022-05-09,22
2022-05-16,4
2022-05-23,5
2022-05-30,7
2022-06-06,9
2022-06-13,26
2022-06-20,6
2022-06-27,21
2022-07-04,3
2022-07-11,8
2022-07-18,2
2022-07-25,15
2022-08-01,9
2022-08-08,15
2022-08-15,3
2022-08-22,18
2022-08-29,8
2022-09-05,4
2022-09-12,5
2022-09-19,22
2022-09-26,9
2022-10-03,4
2022-10-10,24
2022-10-17,14
2022-10-24,29
2022-10-31,9
2022-11-07,6
2022-11-14,13
2022-11-21,17
2022-11-28,16
2022-12-05,8
2022-12-12,9
2022-12-19,6
2022-12-26,13
2023-01-02,25
2023-01-09,4
2023-01-16,17
2023-01-23,19
2023-01-30,17
2023-02-06,31
2023-02-13,12
2023-02-20,21
2023-02-27,15
2023-03-06,16
2023-03-13,16
2023-03-20,17
2023-03-27,22
2023-04-03,12
2023-04-10,10
2023-04-17,12
2023-04-24,4
2023-05-01,4
2023-05-08,12
2023-05-15,11
2023-05-22,19
2023-05-29,3
2023-06-05,11
2023-06-12,8
2023-06-19,12
2023-06-26,22
2023-07-03,16
2023-07-10,2
2023-07-17,8
2023-07-24,7
2023-07-31,19
2023-08-07,3
2023-08-14,10
2023-08-21,8
2023-08-28,11
2023-09-04,13
2023-09-11,4
2023-09-18,14
2023-09-25,18
2023-10-02,16
2023-10-09,5
2023-10-16,7
2023-10-23,17
2023-10-30,19
2023-11-06,10
2023-11-13,17
2023-11-20,18
2023-11-27,8
2023-12-04,11
2023-12-11,5
2023-12-18,15
2023-12-25,22
2024-01-01,21
2024-01-08,15
2024-01-15,20
2024-01-22,12
2024-01-29,6
2024-02-05,13
2024-02-12,15
2024-02-19,8
2024-02-26,16
2024-03-04,18
2024-03-11,18
2024-03-18,1
2024-03-25,6
2024-04-01,5
2024-04-08,17
2024-04-15,11
2024-04-22,10
2024-04-29,19
2024-05-06,17
2024-05-13,5
2024-05-20,10
2024-05-27,19
2024-06-03,16
2024-06-10,9
2024-06-17,2
2024-06-24,1
2024-07-01,21
2024-07-08,11
2024-07-15,10
2024-07-22,23
2024-07-29,0
2024-08-05,16
2024-08-12,7
2024-08-19,11
2024-08-26,7
2024-09-02,7
2024-09-09,3
2024-09-16,8
2024-09-23,1
2024-09-30,17
2024-10-07,16
2024-10-14,20
2024-10-21,12
2024-10-28,14
2024-11-04,15
2024-11-11,19
2024-11-18,5
2024-11-25,16
2024-12-02,11
2024-12-09,11
2024-12-16,10
2024-12-23,8
2024-12-30,3
2025-01-06,3
