date,demand
2022-01-03,1
2022-01-10,23
2022-01-17,11
2022-01-24,5
2022-01-31,11
2022-02-07,6
2022-02-14,10
2022-02-21,13
2022-02-28,14
2022-03-07,3
2022-03-14,7
2022-03-21,15
2022-03-28,5
2022-04-04,15
2022-04-11,7
2022-04-18,7
2022-04-25,15
2022-05-02,16
2022-05-09,6
2022-05-16,17
2022-05-23,16
2022-05-30,0
2022-06-06,10
2022-06-13,18
2022-06-20,11
2022-06-27,28
2022-07-04,0
2022-07-11,16
2022-07-18,14
2022-07-25,8
2022-08-01,9
2022-08-08,22
2022-08-15,10
2022-08-22,10
2022-08-29,0
2022-09-05,15
2022-09-12,3
2022-09-19,13
2022-09-26,7
2022-10-03,10
2022-10-10,27
2022-10-17,3
2022-10-24,18
2022-10-31,17
2022-11-07,8
2022-11-14,8
2022-11-21,16
2022-11-28,13
2022-12-05,13
2022-12-12,10
2022-12-19,10
2022-12-26,15
2023-01-02,14
2023-01-09,3
2023-01-16,8
2023-01-23,8
2023-01-30,16
2023-02-06,12
2023-02-13,18
2023-02-20,7
2023-02-27,15
2023-03-06,7
2023-03-13,32
2023-03-20,7
2023-03-27,3
2023-04-03,2
2023-04-10,2
2023-04-17,17
2023-04-24,11
2023-05-01,9
2023-05-08,26
2023-05-15,25
2023-05-22,17
2023-05-29,21
2023-06-05,22
2023-06-12,22
2023-06-19,5
2023-06-26,20
2023-07-03,7
2023-07-10,19
2023-07-17,5
2023-07-24,7
2023-07-31,4
2023-08-07,5
2023-08-14,6
2023-08-21,24
2023-08-28,1
2023-09-04,3
2023-09-11,10
2023-09-18,3
2023-09-25,15
2023-10-02,28
2023-10-09,20
2023-10-16,16
2023-10-23,34
2023-10-30,12
2023-11-06,17
2023-11-13,14
2023-11-20,15
2023-11-27,8
2023-12-04,8
2023-12-11,15
2023-12-18,12
2023-12-25,11
2024-01-01,2
2024-01-08,7
2024-01-15,13
2024-01-22,18
2024-01-29,8
2024-02-05,11
2024-02-12,11
2024-02-19,0
2024-02-26,23
2024-03-04,19
2024-03-11,15
2024-03-18,6
2024-03-25,7
2024-04-01,9
2024-04-08,11
2024-04-15,31
2024-04-22,6
2024-04-29,13
2024-05-06,11
2024-05-13,16
2024-05-20,7
2024-05-27,13
2024-06-03,11
2024-06-10,17
2024-06-17,1
2024-06-24,10
2024-07-01,6
2024-07-08,11
2024-07-15,8
2024-07-22,18
2024-07-29,11
2024-08-05,9
2024-08-12,7
2024-08-19,5
2024-08-26,3
2024-09-02,12
2024-09-09,10
2024-09-16,13
2024-09-23,3
2024-09-30,25
2024-10-07,10
2024-10-14,6
2024-10-21,10
2024-10-28,14
2024-11-04,12
2024-11-11,6
2024-11-18,6
2024-11-25,10
2024-12-02,9
2024-12-09,5
2024-12-16,5
2024-12-23,5
2024-12-30,3
2025-01-06,5
