date,demand
2022-01-03,6
2022-01-10,16
2022-01-17,3
2022-01-24,18
2022-01-31,11
2022-02-07,24
2022-02-14,8
2022-02-21,25
2022-02-28,7
2022-03-07,17
2022-03-14,21
2022-03-21,8
2022-03-28,4
2022-04-04,6
2022-04-11,24
2022-04-18,11
2022-04-25,18
2022-05-02,13
2022-05-09,13
2022-05-16,6
2022-05-23,6
2022-05-30,20
2022-06-06,3
2022-06-13,17
2022-06-20,7
2022-06-27,12
2022-07-04,7
2022-07-11,15
2022-07-18,9
2022-07-25,6
2022-08-01,1
2022-08-08,6
2022-08-15,5
2022-08-22,10
2022-08-29,20
2022-09-05,9
2022-09-12,3
2022-09-19,7
2022-09-26,13
2022-10-03,0
2022-10-10,17
2022-10-17,5
2022-10-24,14
2022-10-31,10
2022-11-07,12
2022-11-14,16
2022-11-21,7
2022-11-28,5
2022-12-05,15
2022-12-12,0
2022-12-19,8
2022-12-26,2
2023-01-02,17
2023-01-09,6
2023-01-16,8
2023-01-23,21
2023-01-30,18
2023-02-06,9
2023-02-13,7
2023-02-20,14
2023-02-27,12
2023-03-06,0
2023-03-13,25
2023-03-20,6
2023-03-27,4
2023-04-03,1
2023-04-10,8
2023-04-17,19
2023-04-24,21
2023-05-01,6
2023-05-08,10
2023-05-15,12
2023-05-22,22
2023-05-29,7
2023-06-05,19
2023-06-12,8
2023-06-19,3
2023-06-26,7
2023-07-03,4
2023-07-10,5
2023-07-17,18
2023-07-24,5
2023-07-31,20
2023-08-07,14
2023-08-14,4
2023-08-21,19
2023-08-28,23
2023-09-04,10
2023-09-11,13
2023-09-18,21
2023-09-25,25
2023-10-02,13
2023-10-09,10
2023-10-16,11
2023-10-23,14
2023-10-30,16
2023-11-06,15
2023-11-13,26
2023-11-20,14
2023-11-27,1
2023-12-04,11
2023-12-11,8
2023-12-18,6
2023-12-25,10
2024-01-01,13
2024-01-08,22
2024-01-15,16
2024-01-22,15
2024-01-29,40
2024-02-05,12
2024-02-12,8
2024-02-19,9
2024-02-26,23
2024-03-04,23
2024-03-11,14
2024-03-18,26
2024-03-25,14
2024-04-01,19
2024-04-08,8
2024-04-15,14
2024-04-22,0
2024-04-29,21
2024-05-06,8
2024-05-13,5
2024-05-20,4
2024-05-27,12
2024-06-03,22
2024-06-10,6
2024-06-17,3
2024-06-24,13
2024-07-01,3
2024-07-08,11
2024-07-15,8
2024-07-22,11
2024-07-29,8
2024-08-05,8
2024-08-12,25
2024-08-19,16
2024-08-26,8
2024-09-02,10
2024-09-09,21
2024-09-16,10
2024-09-23,5
2024-09-30,5
2024-10-07,18
2024-10-14,29
2024-10-21,1
2024-10-28,5
2024-11-04,6
2024-11-11,6
2024-11-18,14
2024-11-25,18
2024-12-02,4
2024-12-09,20
2024-12-16,25
2024-12-23,5
2024-12-30,9
2025-01-06,4
