date,demand
2022-01-03,13
2022-01-10,13
2022-01-17,4
2022-01-24,1
2022-01-31,15
2022-02-07,12
2022-02-14,20
2022-02-21,5
2022-02-28,21
2022-03-07,28
2022-03-14,26
2022-03-21,4
2022-03-28,4
2022-04-04,2
2022-04-11,1
2022-04-18,9
2022-04-25,20
2022-05-02,13
2022-05-09,27
2022-05-16,4
2022-05-23,6
2022-05-30,11
2022-06-06,8
2022-06-13,3
2022-06-20,10
2022-06-27,19
2022-07-04,0
2022-07-11,8
2022-07-18,9
2022-07-25,13
2022-08-01,20
2022-08-08,7
2022-08-15,21
2022-08-22,5
2022-08-29,19
2022-09-05,7
2022-09-12,25
2022-09-19,5
2022-09-26,3
2022-10-03,5
2022-10-10,3
2022-10-17,3
2022-10-24,17
2022-10-31,0
2022-11-07,15
2022-11-14,37
2022-11-21,22
2022-11-28,4
2022-12-05,14
2022-12-12,0
2022-12-19,16
2022-12-26,21
2023-01-02,4
2023-01-09,5
2023-01-16,2
2023-01-23,14
2023-01-30,15
2023-02-06,17
2023-02-13,2
2023-02-20,15
2023-02-27,11
2023-03-06,14
2023-03-13,22
2023-03-20,9
2023-03-27,11
2023-04-03,8
2023-04-10,4
2023-04-17,9
2023-04-24,7
2023-05-01,1
2023-05-08,12
2023-05-15,3
2023-05-22,15
2023-05-29,7
2023-06-05,26
2023-06-12,16
2023-06-19,5
2023-06-26,15
2023-07-03,14
2023-07-10,10
2023-07-17,12
2023-07-24,11
2023-07-31,7
2023-08-07,11
2023-08-14,0
2023-08-21,8
2023-08-28,8
2023-09-04,23
2023-09-11,14
2023-09-18,12
2023-09-25,9
2023-10-02,9
2023-10-09,12
2023-10-16,8
2023-10-23,23
2023-10-30,2
2023-11-06,6
2023-11-13,37
2023-11-20,14
2023-11-27,11
2023-12-04,14
2023-12-11,3
2023-12-18,10
2023-12-25,9
2024-01-01,9
2024-01-08,4
2024-01-15,10
2024-01-22,26
2024-01-29,15
2024-02-05,7
2024-02-12,3
2024-02-19,17
2024-02-26,21
2024-03-04,5
2024-03-11,16
2024-03-18,11
2024-03-25,24
2024-04-01,15
2024-04-08,17
2024-04-15,7
2024-04-22,5
2024-04-29,25
2024-05-06,11
2024-05-13,21
2024-05-20,15
2024-05-27,13
2024-06-03,16
2024-06-10,7
2024-06-17,20
2024-06-24,8
2024-07-01,6
2024-07-08,8
2024-07-15,1
2024-07-22,5
2024-07-29,8
2024-08-05,11
2024-08-12,11
2024-08-19,18
2024-08-26,5
2024-09-02,13
2024-09-09,11
2024-09-16,15
2024-09-23,10
2024-09-30,11
2024-10-07,32
2024-10-14,31
2024-10-21,14
2024-10-28,1
2024-11-04,9
2024-11-11,8
2024-11-18,17
2024-11-25,6
2024-12-02,1
2024-12-09,16
2024-12-16,16
2024-12-23,3
2024-12-30,3
2025-01-06,2
