date,demand
2022-01-03,3
2022-01-10,14
2022-01-17,20
2022-01-24,3
2022-01-31,13
2022-02-07,11
2022-02-14,19
2022-02-21,13
2022-02-28,19
2022-03-07,20
2022-03-14,14
2022-03-21,20
2022-03-28,9
2022-04-04,8
2022-04-11,15
2022-04-18,11
2022-04-25,12
2022-05-02,25
2022-05-09,2
2022-05-16,10
2022-05-23,12
2022-05-30,12
2022-06-06,13
2022-06-13,9
2022-06-20,4
2022-06-27,17
2022-07-04,7
2022-07-11,12
2022-07-18,22
2022-07-25,8
2022-08-01,6
2022-08-08,20
2022-08-15,16
2022-08-22,11
2022-08-29,33
2022-09-05,8
2022-09-12,2
2022-09-19,18
2022-09-26,10
2022-10-03,27
2022-10-10,15
2022-10-17,10
2022-10-24,17
2022-10-31,15
2022-11-07,10
2022-11-14,21
2022-11-21,11
2022-11-28,2
2022-12-05,17
2022-12-12,9
2022-12-19,14
2022-12-26,11
2023-01-02,7
2023-01-09,6
2023-01-16,7
2023-01-23,6
2023-01-30,5
2023-02-06,11
2023-02-13,2
2023-02-20,13
2023-02-27,20
2023-03-06,17
2023-03-13,23
2023-03-20,8
2023-03-27,10
2023-04-03,5
2023-04-10,12
2023-04-17,25
2023-04-24,9
2023-05-01,5
2023-05-08,7
2023-05-15,5
2023-05-22,17
2023-05-29,2
2023-06-05,0
2023-06-12,10
2023-06-19,7
2023-06-26,9
2023-07-03,8
2023-07-10,9
2023-07-17,2
2023-07-24,25
2023-07-31,1
2023-08-07,6
2023-08-14,15
2023-08-21,12
2023-08-28,7
2023-09-04,13
2023-09-11,9
2023-09-18,9
2023-09-25,4
2023-10-02,14
2023-10-09,6
2023-10-16,7
2023-10-23,11
2023-10-30,11
2023-11-06,0
2023-11-13,8
2023-11-20,12
2023-11-27,4
2023-12-04,18
2023-12-11,12
2023-12-18,0
2023-12-25,6
2024-01-01,20
2024-01-08,27
2024-01-15,14
2024-01-22,5
2024-01-29,16
2024-02-05,13
2024-02-12,12
2024-02-19,19
2024-02-26,9
2024-03-04,5
2024-03-11,16
2024-03-18,8
2024-03-25,21
2024-04-01,8
2024-04-08,10
2024-04-15,12
2024-04-22,5
2024-04-29,24
2024-05-06,16
2024-05-13,9
2024-05-20,23
2024-05-27,6
2024-06-03,18
2024-06-10,6
2024-06-17,13
2024-06-24,8
2024-07-01,9
2024-07-08,3
2024-07-15,8
2024-07-22,10
2024-07-29,8
2024-08-05,8
2024-08-12,7
2024-08-19,13
2024-08-26,18
2024-09-02,6
2024-09-09,17
2024-09-16,7
2024-09-23,8
2024-09-30,17
2024-10-07,11
2024-10-14,20
2024-10-21,25
2024-10-28,10
2024-11-04,6
2024-11-11,12
2024-11-18,15
2024-11-25,17
2024-12-02,4
2024-12-09,13
2024-12-16,8
2024-12-23,10
2024-12-30,7
2025-01-06,6
