date,demand
2022-01-03,1
2022-01-10,6
2022-01-17,5
2022-01-24,0
2022-01-31,12
2022-02-07,0
2022-02-14,10
2022-02-21,11
2022-02-28,10
2022-03-07,17
2022-03-14,9
2022-03-21,16
2022-03-28,0
2022-04-04,4
2022-04-11,3
2022-04-18,16
2022-04-25,1
2022-05-02,15
2022-05-09,13
2022-05-16,10
2022-05-23,3
2022-05-30,19
2022-06-06,1
2022-06-13,11
2022-06-20,5
2022-06-27,6
2022-07-04,6
2022-07-11,17
2022-07-18,18
2022-07-25,7
2022-08-01,5
2022-08-08,19
2022-08-15,0
2022-08-22,21
2022-08-29,11
2022-09-05,11
2022-09-12,3
2022-09-19,12
2022-09-26,13
2022-10-03,9
2022-10-10,14
2022-10-17,4
2022-10-24,14
2022-10-31,4
2022-11-07,6
2022-11-14,24
2022-11-21,37
2022-11-28,20
2022-12-05,15
2022-12-12,8
2022-12-19,20
2022-12-26,10
2023-01-02,12
2023-01-09,1
2023-01-16,7
2023-01-23,13
2023-01-30,11
2023-02-06,0
2023-02-13,12
2023-02-20,3
2023-02-27,9
2023-03-06,28
2023-03-13,4
2023-03-20,15
2023-03-27,12
2023-04-03,20
2023-04-10,4
2023-04-17,6
2023-04-24,6
2023-05-01,4
2023-05-08,10
2023-05-15,7
2023-05-22,39
2023-05-29,2
2023-06-05,6
2023-06-12,3
2023-06-19,3
2023-06-26,2
2023-07-03,10
2023-07-10,31
2023-07-17,25
2023-07-24,3
2023-07-31,14
2023-08-07,3
2023-08-14,16
2023-08-21,22
2023-08-28,8
2023-09-04,6
2023-09-11,7
2023-09-18,4
2023-09-25,9
2023-10-02,12
2023-10-09,13
2023-10-16,24
2023-10-23,8
2023-10-30,2
2023-11-06,11
2023-11-13,17
2023-11-20,5
2023-11-27,15
2023-12-04,34
2023-12-11,25
2023-12-18,12
2023-12-25,28
2024-01-01,6
2024-01-08,18
2024-01-15,13
2024-01-22,3
2024-01-29,25
2024-02-05,8
2024-02-12,13
2024-02-19,7
2024-02-26,5
2024-03-04,15
2024-03-11,18
2024-03-18,6
2024-03-25,9
2024-04-01,12
2024-04-08,7
2024-04-15,11
2024-04-22,16
2024-04-29,10
2024-05-06,10
2024-05-13,5
2024-05-20,10
2024-05-27,13
2024-06-03,11
2024-06-10,4
2024-06-17,5
2024-06-24,7
2024-07-01,7
2024-07-08,7
2024-07-15,13
2024-07-22,19
2024-07-29,3
2024-08-05,7
2024-08-12,8
2024-08-19,7
2024-08-26,10
2024-09-02,12
2024-09-09,8
2024-09-16,11
2024-09-23,12
2024-09-30,7
2024-10-07,13
2024-10-14,18
2024-10-21,3
2024-10-28,15
2024-11-04,11
2024-11-11,18
2024-11-18,5
2024-11-25,5
2024-12-02,0
2024-12-09,21
2024-12-16,7
2024-12-23,13
2024-12-30,11
2025-01-06,1
