date,demand
2022-01-03,5
2022-01-10,20
2022-01-17,9
2022-01-24,18
2022-01-31,10
2022-02-07,12
2022-02-14,8
2022-02-21,8
2022-02-28,15
2022-03-07,15
2022-03-14,8
2022-03-21,8
2022-03-28,9
2022-04-04,8
2022-04-11,22
2022-04-18,5
2022-04-25,8
2022-05-02,4
2022-05-09,12
2022-05-16,27
2022-05-23,4
2022-05-30,21
2022-06-06,11
2022-06-13,4
2022-06-20,0
2022-06-27,5
2022-07-04,5
2022-07-11,8
2022-07-18,7
2022-07-25,8
2022-08-01,3
2022-08-08,17
2022-08-15,12
2022-08-22,14
2022-08-29,18
2022-09-05,5
2022-09-12,5
2022-09-19,10
2022-09-26,20
2022-10-03,11
2022-10-10,6
2022-10-17,6
2022-10-24,5
2022-10-31,2
2022-11-07,1
2022-11-14,4
2022-11-21,3
2022-11-28,6
2022-12-05,13
2022-12-12,13
2022-12-19,7
2022-12-26,24
2023-01-02,12
2023-01-09,6
2023-01-16,2
2023-01-23,18
2023-01-30,7
2023-02-06,10
2023-02-13,7
2023-02-20,12
2023-02-27,14
2023-03-06,16
2023-03-13,20
2023-03-20,4
2023-03-27,5
2023-04-03,23
2023-04-10,15
2023-04-17,5
2023-04-24,0
2023-05-01,3
2023-05-08,12
2023-05-15,12
2023-05-22,11
2023-05-29,1
2023-06-05,11
2023-06-12,3
2023-06-19,20
2023-06-26,2
2023-07-03,11
2023-07-10,11
2023-07-17,9
2023-07-24,2
2023-07-31,12
2023-08-07,5
2023-08-14,0
2023-08-21,35
2023-08-28,21
2023-09-04,6
2023-09-11,18
2023-09-18,9
2023-09-25,7
2023-10-02,8
2023-10-09,14
2023-10-16,12
2023-10-23,18
2023-10-30,5
2023-11-06,12
2023-11-13,11
2023-11-20,12
2023-11-27,13
2023-12-04,17
2023-12-11,18
2023-12-18,18
2023-12-25,5
2024-01-01,20
2024-01-08,8
2024-01-15,19
2024-01-22,8
2024-01-29,18
2024-02-05,15
2024-02-12,5
2024-02-19,11
2024-02-26,12
2024-03-04,12
2024-03-11,29
2024-03-18,2
2024-03-25,9
2024-04-01,0
2024-04-08,13
2024-04-15,21
2024-04-22,4
2024-04-29,17
2024-05-06,22
2024-05-13,21
2024-05-20,11
2024-05-27,16
2024-06-03,7
2024-06-10,6
2024-06-17,8
2024-06-24,7
2024-07-01,23
2024-07-08,22
2024-07-15,5
2024-07-22,19
2024-07-29,11
2024-08-05,3
2024-08-12,16
2024-08-19,11
2024-08-26,3
2024-09-02,14
2024-09-09,8
2024-09-16,3
2024-09-23,12
2024-09-30,5
2024-10-07,19
2024-10-14,3
2024-10-21,22
2024-10-28,25
2024-11-04,18
2024-11-11,31
2024-11-18,3
2024-11-25,2
2024-12-02,16
2024-12-09,18
2024-12-16,12
2024-12-23,9
2024-12-30,5
2025-01-06,1
