date,demand
2022-01-03,6
2022-01-10,47
2022-01-17,16
2022-01-24,24
2022-01-31,30
2022-02-07,17
2022-02-14,18
2022-02-21,15
2022-02-28,15
2022-03-07,33
2022-03-14,14
2022-03-21,22
2022-03-28,10
2022-04-04,43
2022-04-11,15
2022-04-18,36
2022-04-25,37
2022-05-02,23
2022-05-09,19
2022-05-16,17
2022-05-23,18
2022-05-30,26
2022-06-06,25
2022-06-13,27
2022-06-20,8
2022-06-27,27
2022-07-04,18
2022-07-11,17
2022-07-18,16
2022-07-25,15
2022-08-01,15
2022-08-08,31
2022-08-15,21
2022-08-22,9
2022-08-29,33
2022-09-05,31
2022-09-12,8
2022-09-19,11
2022-09-26,18
2022-10-03,22
2022-10-10,29
2022-10-17,29
2022-10-24,29
2022-10-31,22
2022-11-07,10
2022-11-14,21
2022-11-21,15
2022-11-28,14
2022-12-05,13
2022-12-12,15
2022-12-19,12
2022-12-26,9
2023-01-02,48
2023-01-09,36
2023-01-16,12
2023-01-23,21
2023-01-30,16
2023-02-06,47
2023-02-13,17
2023-02-20,21
2023-02-27,20
2023-03-06,28
2023-03-13,20
2023-03-20,32
2023-03-27,38
2023-04-03,22
2023-04-10,22
2023-04-17,19
2023-04-24,15
2023-05-01,18
2023-05-08,17
2023-05-15,14
2023-05-22,16
2023-05-29,29
2023-06-05,29
2023-06-12,15
2023-06-19,27
2023-06-26,42
2023-07-03,31
2023-07-10,31
2023-07-17,17
2023-07-24,30
2023-07-31,41
2023-08-07,20
2023-08-14,21
2023-08-21,33
2023-08-28,17
2023-09-04,25
2023-09-11,32
2023-09-18,23
2023-09-25,19
2023-10-02,18
2023-10-09,6
2023-10-16,15
2023-10-23,20
2023-10-30,23
2023-11-06,30
2023-11-13,15
2023-11-20,37
2023-11-27,18
2023-12-04,18
2023-12-11,18
2023-12-18,21
2023-12-25,25
2024-01-01,14
2024-01-08,16
2024-01-15,16
2024-01-22,32
2024-01-29,15
2024-02-05,17
2024-02-12,21
2024-02-19,14
2024-02-26,21
2024-03-04,25
2024-03-11,34
2024-03-18,12
2024-03-25,23
2024-04-01,22
2024-04-08,12
2024-04-15,26
2024-04-22,10
2024-04-29,22
2024-05-06,50
2024-05-13,12
2024-05-20,28
2024-05-27,26
2024-06-03,22
2024-06-10,40
2024-06-17,33
2024-06-24,13
2024-07-01,14
2024-07-08,21
2024-07-15,34
2024-07-22,20
2024-07-29,20
2024-08-05,23
2024-08-12,12
2024-08-19,20
2024-08-26,26
2024-09-02,22
2024-09-09,22
2024-09-16,9
2024-09-23,15
2024-09-30,25
2024-10-07,23
2024-10-14,8
2024-10-21,28
2024-10-28,27
2024-11-04,28
2024-11-11,14
2024-11-18,19
2024-11-25,27
2024-12-02,23
2024-12-09,13
2024-12-16,9
2024-12-23,33
2024-12-30,12
2025-01-06,7
