date,demand
2022-01-10,11
2022-01-17,17
2022-01-24,12
2022-01-31,10
2022-02-07,11
2022-02-14,1
2022-02-21,13
2022-02-28,16
2022-03-07,14
2022-03-14,16
2022-03-21,3
2022-03-28,5
2022-04-04,17
2022-04-11,12
2022-04-18,8
2022-04-25,7
2022-05-02,14
2022-05-09,10
2022-05-16,35
2022-05-23,20
2022-05-30,1
2022-06-06,17
2022-06-13,10
2022-06-20,7
2022-06-27,12
2022-07-04,8
2022-07-11,2
2022-07-18,14
2022-07-25,9
2022-08-01,7
2022-08-08,9
2022-08-15,8
2022-08-22,11
2022-08-29,7
2022-09-05,9
2022-09-12,22
2022-09-19,3
2022-09-26,4
2022-10-03,7
2022-10-10,16
2022-10-17,1
2022-10-24,3
2022-10-31,17
2022-11-07,5
2022-11-14,11
2022-11-21,20
2022-11-28,5
2022-12-05,9
2022-12-12,16
2022-12-19,4
2022-12-26,30
2023-01-02,27
2023-01-09,18
2023-01-16,7
2023-01-23,13
2023-01-30,17
2023-02-06,5
2023-02-13,2
2023-02-20,18
2023-02-27,15
2023-03-06,6
2023-03-13,6
2023-03-20,8
2023-03-27,7
2023-04-03,13
2023-04-10,18
2023-04-17,5
2023-04-24,11
2023-05-01,12
2023-05-08,21
2023-05-15,5
2023-05-22,7
2023-05-29,28
2023-06-05,15
2023-06-12,24
2023-06-19,22
2023-06-26,22
2023-07-03,4
2023-07-10,9
2023-07-17,22
2023-07-24,8
2023-07-31,20
2023-08-07,19
2023-08-14,7
2023-08-21,18
2023-08-28,18
2023-09-04,11
2023-09-11,4
2023-09-18,16
2023-09-25,9
2023-10-02,13
2023-10-09,23
2023-10-16,3
2023-10-23,0
2023-10-30,12
2023-11-06,16
2023-11-13,16
2023-11-20,17
2023-11-27,12
2023-12-04,11
2023-12-11,0
2023-12-18,9
2023-12-25,16
2024-01-01,24
2024-01-08,15
2024-01-15,15
2024-01-22,12
2024-01-29,12
2024-02-05,29
2024-02-12,6
2024-02-19,6
2024-02-26,22
2024-03-04,14
2024-03-11,13
2024-03-18,3
2024-03-25,7
2024-04-01,5
2024-04-08,8
2024-04-15,18
2024-04-22,8
2024-04-29,26
2024-05-06,13
2024-05-13,4
2024-05-20,5
2024-05-27,18
2024-06-03,6
2024-06-10,17
2024-06-17,1
2024-06-24,14
2024-07-01,7
2024-07-08,21
2024-07-15,20
2024-07-22,16
2024-07-29,11
2024-08-05,3
2024-08-12,13
2024-08-19,10
2024-08-26,4
2024-09-02,10
2024-09-09,6
2024-09-16,14
2024-09-23,13
2024-09-30,6
2024-10-07,16
2024-10-14,8
2024-10-21,4
2024-10-28,7
2024-11-04,6
2024-11-11,7
2024-11-18,7
2024-11-25,13
2024-12-02,14
2024-12-09,6
2024-12-16,17
2024-12-23,16
