date,demand
2022-01-10,9
2022-01-17,5
2022-01-24,5
2022-01-31,9
2022-02-07,11
2022-02-14,19
2022-02-21,5
2022-02-28,18
2022-03-07,8
2022-03-14,5
2022-03-21,3
2022-03-28,11
2022-04-04,11
2022-04-11,15
2022-04-18,3
2022-04-25,17
2022-05-02,21
2022-05-09,18
2022-05-16,24
2022-05-23,4
2022-05-30,15
2022-06-06,13
2022-06-13,9
2022-06-20,13
2022-06-27,9
2022-07-04,6
2022-07-11,7
2022-07-18,10
2022-07-25,4
2022-08-01,6
2022-08-08,12
2022-08-15,9
2022-08-22,6
2022-08-29,14
2022-09-05,11
2022-09-12,4
2022-09-19,5
2022-09-26,10
2022-10-03,4
2022-10-10,7
2022-10-17,2
2022-10-24,14
2022-10-31,10
2022-11-07,6
2022-11-14,7
2022-11-21,8
2022-11-28,8
2022-12-05,8
2022-12-12,5
2022-12-19,15
2022-12-26,2
2023-01-02,9
2023-01-09,6
2023-01-16,0
2023-01-23,10
2023-01-30,8
2023-02-06,21
2023-02-13,3
2023-02-20,14
2023-02-27,12
2023-03-06,6
2023-03-13,2
2023-03-20,6
2023-03-27,0
2023-04-03,10
2023-04-10,18
2023-04-17,11
2023-04-24,18
2023-05-01,7
2023-05-08,19
2023-05-15,16
2023-05-22,7
2023-05-29,4
2023-06-05,11
2023-06-12,12
2023-06-19,19
2023-06-26,24
2023-07-03,15
2023-07-10,8
2023-07-17,18
2023-07-24,10
2023-07-31,14
2023-08-07,14
2023-08-14,0
2023-08-21,12
2023-08-28,12
2023-09-04,10
2023-09-11,4
2023-09-18,0
2023-09-25,11
2023-10-02,19
2023-10-09,9
2023-10-16,2
2023-10-23,14
2023-10-30,4
2023-11-06,19
2023-11-13,13
2023-11-20,7
2023-11-27,1
2023-12-04,9
2023-12-11,8
2023-12-18,18
2023-12-25,9
2024-01-01,2
2024-01-08,8
2024-01-15,13
2024-01-22,15
2024-01-29,8
2024-02-05,13
2024-02-12,14
2024-02-19,12
2024-02-26,19
2024-03-04,17
2024-03-11,17
2024-03-18,15
2024-03-25,3
2024-04-01,12
2024-04-08,10
2024-04-15,20
2024-04-22,21
2024-04-29,15
2024-05-06,20
2024-05-13,11
2024-05-20,8
2024-05-27,7
2024-06-03,12
2024-06-10,9
2024-06-17,11
2024-06-24,11
2024-07-01,10
2024-07-08,18
2024-07-15,18
2024-07-22,10
2024-07-29,11
2024-08-05,5
2024-08-12,6
2024-08-19,12
2024-08-26,20
2024-09-02,16
2024-09-09,10
2024-09-16,6
2024-09-23,17
2024-09-30,19
2024-10-07,12
2024-10-14,23
2024-10-21,30
2024-10-28,5
2024-11-04,9
2024-11-11,6
2024-11-18,10
2024-11-25,13
2024-12-02,5
2024-12-09,17
2024-12-16,27
2024-12-23,14
