date,demand
2022-01-10,24
2022-01-17,5
2022-01-24,4
2022-01-31,6
2022-02-07,11
2022-02-14,13
2022-02-21,20
2022-02-28,3
2022-03-07,9
2022-03-14,2
2022-03-21,16
2022-03-28,3
2022-04-04,18
2022-04-11,14
2022-04-18,1
2022-04-25,10
2022-05-02,13
2022-05-09,23
2022-05-16,1
2022-05-23,0
2022-05-30,0
2022-06-06,7
2022-06-13,2
2022-06-20,6
2022-06-27,13
2022-07-04,9
2022-07-11,7
2022-07-18,5
2022-07-25,12
2022-08-01,3
2022-08-08,19
2022-08-15,13
2022-08-22,12
2022-08-29,13
2022-09-05,8
2022-09-12,3
2022-09-19,26
2022-09-26,12
2022-10-03,8
2022-10-10,14
2022-10-17,5
2022-10-24,12
2022-10-31,4
2022-11-07,9
2022-11-14,8
2022-11-21,16
2022-11-28,39
2022-12-05,5
2022-12-12,7
2022-12-19,12
2022-12-26,23
2023-01-02,8
2023-01-09,20
2023-01-16,17
2023-01-23,5
2023-01-30,10
2023-02-06,2
2023-02-13,11
2023-02-20,9
2023-02-27,11
2023-03-06,9
2023-03-13,0
2023-03-20,15
2023-03-27,7
2023-04-03,21
2023-04-10,9
2023-04-17,10
2023-04-24,8
2023-05-01,6
2023-05-08,2
2023-05-15,6
2023-05-22,20
2023-05-29,14
2023-06-05,17
2023-06-12,4
2023-06-19,13
2023-06-26,7
2023-07-03,7
2023-07-10,12
2023-07-17,0
2023-07-24,3
2023-07-31,19
2023-08-07,6
2023-08-14,10
2023-08-21,0
2023-08-28,6
2023-09-04,1
2023-09-11,10
2023-09-18,16
2023-09-25,27
2023-10-02,4
2023-10-09,6
2023-10-16,12
2023-10-23,4
2023-10-30,6
2023-11-06,1
2023-11-13,5
2023-11-20,11
2023-11-27,3
2023-12-04,15
2023-12-11,5
2023-12-18,14
2023-12-25,0
2024-01-01,17
2024-01-08,16
2024-01-15,14
2024-01-22,14
2024-01-29,15
2024-02-05,13
2024-02-12,8
2024-02-19,1
2024-02-26,11
2024-03-04,19
2024-03-11,14
2024-03-18,18
2024-03-25,11
2024-04-01,16
2024-04-08,4
2024-04-15,20
2024-04-22,6
2024-04-29,19
2024-05-06,16
2024-05-13,6
2024-05-20,8
2024-05-27,11
2024-06-03,12
2024-06-10,4
2024-06-17,2
2024-06-24,19
2024-07-01,10
2024-07-08,18
2024-07-15,16
2024-07-22,8
2024-07-29,6
2024-08-05,15
2024-08-12,11
2024-08-19,5
2024-08-26,11
2024-09-02,3
2024-09-09,19
2024-09-16,7
2024-09-23,12
2024-09-30,8
2024-10-07,2
2024-10-14,8
2024-10-21,26
2024-10-28,5
2024-11-04,23
2024-11-11,0
2024-11-18,4
2024-11-25,10
2024-12-02,10
2024-12-09,18
2024-12-16,5
2024-12-23,13
2024-12-30,4
2025-01-06,2
